fid,CONTINENT,REGION_UN,SUBREGION,whs,br,gg,whs_1978-1,whs_1994-2,whs_2011-2,br_1976-19,br_1985-19,br_1996-20,br_2008-20
1,Oceania,Oceania,Australia and New Zealand,22.000000000000000,4.000000000000000,0.000000000000000,12.000000000000000,8.000000000000000,2.000000000000000,1.000000000000000,0.000000000000000,2.000000000000000,1.000000000000000
1,North America,Americas,Caribbean,17.000000000000000,11.000000000000000,0.000000000000000,4.000000000000000,10.000000000000000,3.000000000000000,1.000000000000000,3.000000000000000,3.000000000000000,4.000000000000000
1,North America,Americas,Central America,54.000000000000000,61.000000000000000,3.000000000000000,22.000000000000000,26.000000000000000,6.000000000000000,7.000000000000000,10.000000000000000,30.000000000000000,14.000000000000000
1,Asia,Asia,Central Asia,13.000000000000000,17.000000000000000,0.000000000000000,2.000000000000000,10.000000000000000,1.000000000000000,3.000000000000000,1.000000000000000,1.000000000000000,12.000000000000000
1,Africa,Africa,Eastern Africa,43.000000000000000,30.000000000000000,1.000000000000000,21.000000000000000,17.000000000000000,5.000000000000000,9.000000000000000,2.000000000000000,7.000000000000000,12.000000000000000
1,Asia,Asia,Eastern Asia,97.000000000000000,63.000000000000000,54.000000000000000,14.000000000000000,53.000000000000000,30.000000000000000,9.000000000000000,7.000000000000000,23.000000000000000,24.000000000000000
1,Europe,Europe,Eastern Europe,91.000000000000000,92.000000000000000,6.000000000000000,35.000000000000000,44.000000000000000,12.000000000000000,33.000000000000000,13.000000000000000,29.000000000000000,17.000000000000000
1,Oceania,Oceania,Melanesia,8.000000000000000,2.000000000000000,0.000000000000000,0.000000000000000,6.000000000000000,2.000000000000000,0.000000000000000,0.000000000000000,2.000000000000000,0.000000000000000
1,Africa,Africa,Middle Africa,14.000000000000000,11.000000000000000,0.000000000000000,6.000000000000000,3.000000000000000,5.000000000000000,8.000000000000000,1.000000000000000,0.000000000000000,2.000000000000000
1,Africa,Africa,Northern Africa,39.000000000000000,22.000000000000000,1.000000000000000,27.000000000000000,9.000000000000000,3.000000000000000,7.000000000000000,3.000000000000000,7.000000000000000,5.000000000000000
1,North America,Americas,Northern America,45.000000000000000,45.000000000000000,5.000000000000000,27.000000000000000,8.000000000000000,10.000000000000000,23.000000000000000,10.000000000000000,9.000000000000000,3.000000000000000
1,Europe,Europe,Northern Europe,74.000000000000000,22.000000000000000,18.000000000000000,24.000000000000000,41.000000000000000,9.000000000000000,5.000000000000000,3.000000000000000,2.000000000000000,12.000000000000000
1,South America,Americas,South America,72.000000000000000,61.000000000000000,5.000000000000000,27.000000000000000,36.000000000000000,9.000000000000000,21.000000000000000,8.000000000000000,19.000000000000000,13.000000000000000
1,Asia,Asia,South-Eastern Asia,42.000000000000000,42.000000000000000,10.000000000000000,12.000000000000000,18.000000000000000,12.000000000000000,11.000000000000000,2.000000000000000,8.000000000000000,21.000000000000000
1,Africa,Africa,Southern Africa,14.000000000000000,11.000000000000000,0.000000000000000,0.000000000000000,10.000000000000000,4.000000000000000,0.000000000000000,0.000000000000000,5.000000000000000,6.000000000000000
1,Asia,Asia,Southern Asia,83.000000000000000,34.000000000000000,1.000000000000000,41.000000000000000,21.000000000000000,21.000000000000000,12.000000000000000,0.000000000000000,7.000000000000000,15.000000000000000
1,Europe,Europe,Southern Europe,159.000000000000000,93.000000000000000,39.000000000000000,62.000000000000000,77.000000000000000,20.000000000000000,18.000000000000000,5.000000000000000,33.000000000000000,37.000000000000000
1,Africa,Africa,Western Africa,29.000000000000000,35.000000000000000,0.000000000000000,14.000000000000000,10.000000000000000,5.000000000000000,10.000000000000000,2.000000000000000,9.000000000000000,14.000000000000000
1,Asia,Asia,Western Asia,85.000000000000000,14.000000000000000,2.000000000000000,26.000000000000000,29.000000000000000,30.000000000000000,0.000000000000000,0.000000000000000,8.000000000000000,6.000000000000000
1,Europe,Europe,Western Europe,120.000000000000000,44.000000000000000,16.000000000000000,34.000000000000000,65.000000000000000,21.000000000000000,8.000000000000000,13.000000000000000,10.000000000000000,13.000000000000000
